"pid","total_commit","total_nonmerge_commit","ageAtActions","contributorsize","time","interventionTRUE","time_after_intervention","closedissues","language","workflow","actionsadoptage"
"100060912","2053","1943","32","268","1","0","0","12","C++","2","10"
"100060912","2053","1943","32","268","2","0","0","229","C++","2","10"
"100060912","2053","1943","32","268","3","0","0","355","C++","2","10"
"100060912","2053","1943","32","268","4","0","0","568","C++","2","10"
"100060912","2053","1943","32","268","5","0","0","365","C++","2","10"
"100060912","2053","1943","32","268","6","0","0","274","C++","2","10"
"100060912","2053","1943","32","268","7","0","0","349","C++","2","10"
"100060912","2053","1943","32","268","8","0","0","345","C++","2","10"
"100060912","2053","1943","32","268","9","0","0","330","C++","2","10"
"100060912","2053","1943","32","268","10","0","0","205","C++","2","10"
"100060912","2053","1943","32","268","11","0","0","322","C++","2","10"
"100060912","2053","1943","32","268","12","0","0","354","C++","2","10"
"100060912","2053","1943","32","268","13","1","1","466","C++","2","10"
"100060912","2053","1943","32","268","14","1","2","505","C++","2","10"
"100060912","2053","1943","32","268","15","1","3","385","C++","2","10"
"100060912","2053","1943","32","268","16","1","4","340","C++","2","10"
"100060912","2053","1943","32","268","17","1","5","287","C++","2","10"
"100060912","2053","1943","32","268","18","1","6","251","C++","2","10"
"100060912","2053","1943","32","268","19","1","7","329","C++","2","10"
"100060912","2053","1943","32","268","20","1","8","279","C++","2","10"
"100060912","2053","1943","32","268","21","1","9","202","C++","2","10"
"100060912","2053","1943","32","268","22","1","10","285","C++","2","10"
"100060912","2053","1943","32","268","23","1","11","346","C++","2","10"
"100060912","2053","1943","32","268","24","1","12","128","C++","2","10"
"100355112","644","550","30","25","1","0","0","6","PHP","3","12"
"100355112","644","550","30","25","2","0","0","4","PHP","3","12"
"100355112","644","550","30","25","3","0","0","7","PHP","3","12"
"100355112","644","550","30","25","4","0","0","4","PHP","3","12"
"100355112","644","550","30","25","5","0","0","3","PHP","3","12"
"100355112","644","550","30","25","6","0","0","9","PHP","3","12"
"100355112","644","550","30","25","7","0","0","11","PHP","3","12"
"100355112","644","550","30","25","8","0","0","12","PHP","3","12"
"100355112","644","550","30","25","9","0","0","4","PHP","3","12"
"100355112","644","550","30","25","10","0","0","7","PHP","3","12"
"100355112","644","550","30","25","11","0","0","15","PHP","3","12"
"100355112","644","550","30","25","12","0","0","7","PHP","3","12"
"100355112","644","550","30","25","13","1","1","3","PHP","3","12"
"100355112","644","550","30","25","14","1","2","3","PHP","3","12"
"100355112","644","550","30","25","15","1","3","6","PHP","3","12"
"100355112","644","550","30","25","16","1","4","3","PHP","3","12"
"100355112","644","550","30","25","17","1","5","6","PHP","3","12"
"100355112","644","550","30","25","18","1","6","9","PHP","3","12"
"100355112","644","550","30","25","19","1","7","13","PHP","3","12"
"100355112","644","550","30","25","20","1","8","1","PHP","3","12"
"100355112","644","550","30","25","21","1","9","4","PHP","3","12"
"100355112","644","550","30","25","22","1","10","3","PHP","3","12"
"100355112","644","550","30","25","23","1","11","4","PHP","3","12"
"100355112","644","550","30","25","24","1","12","1","PHP","3","12"
"100427737","2396","1619","30","42","1","0","0","9","JavaScript","2","12"
"100427737","2396","1619","30","42","2","0","0","25","JavaScript","2","12"
"100427737","2396","1619","30","42","3","0","0","15","JavaScript","2","12"
"100427737","2396","1619","30","42","4","0","0","8","JavaScript","2","12"
"100427737","2396","1619","30","42","5","0","0","2","JavaScript","2","12"
"100427737","2396","1619","30","42","6","0","0","13","JavaScript","2","12"
"100427737","2396","1619","30","42","7","0","0","8","JavaScript","2","12"
"100427737","2396","1619","30","42","8","0","0","61","JavaScript","2","12"
"100427737","2396","1619","30","42","9","0","0","16","JavaScript","2","12"
"100427737","2396","1619","30","42","10","0","0","1","JavaScript","2","12"
"100427737","2396","1619","30","42","11","0","0","10","JavaScript","2","12"
"100427737","2396","1619","30","42","12","0","0","3","JavaScript","2","12"
"100427737","2396","1619","30","42","13","1","1","7","JavaScript","2","12"
"100427737","2396","1619","30","42","14","1","2","5","JavaScript","2","12"
"100427737","2396","1619","30","42","15","1","3","9","JavaScript","2","12"
"100427737","2396","1619","30","42","16","1","4","2","JavaScript","2","12"
"100427737","2396","1619","30","42","17","1","5","4","JavaScript","2","12"
"100427737","2396","1619","30","42","18","1","6","7","JavaScript","2","12"
"100427737","2396","1619","30","42","19","1","7","2","JavaScript","2","12"
"100427737","2396","1619","30","42","20","1","8","5","JavaScript","2","12"
"100427737","2396","1619","30","42","21","1","9","2","JavaScript","2","12"
"100427737","2396","1619","30","42","22","1","10","3","JavaScript","2","12"
"100427737","2396","1619","30","42","23","1","11","3","JavaScript","2","12"
"100427737","2396","1619","30","42","24","1","12","3","JavaScript","2","12"
"100624553","2676","2138","30","27","1","0","0","15","Kotlin","5","12"
"100624553","2676","2138","30","27","2","0","0","13","Kotlin","5","12"
"100624553","2676","2138","30","27","3","0","0","8","Kotlin","5","12"
"100624553","2676","2138","30","27","4","0","0","22","Kotlin","5","12"
"100624553","2676","2138","30","27","5","0","0","9","Kotlin","5","12"
"100624553","2676","2138","30","27","6","0","0","26","Kotlin","5","12"
"100624553","2676","2138","30","27","7","0","0","18","Kotlin","5","12"
"100624553","2676","2138","30","27","8","0","0","75","Kotlin","5","12"
"100624553","2676","2138","30","27","9","0","0","32","Kotlin","5","12"
"100624553","2676","2138","30","27","10","0","0","25","Kotlin","5","12"
"100624553","2676","2138","30","27","11","0","0","32","Kotlin","5","12"
"100624553","2676","2138","30","27","12","0","0","14","Kotlin","5","12"
"100624553","2676","2138","30","27","13","1","1","7","Kotlin","5","12"
"100624553","2676","2138","30","27","14","1","2","10","Kotlin","5","12"
"100624553","2676","2138","30","27","15","1","3","18","Kotlin","5","12"
"100624553","2676","2138","30","27","16","1","4","28","Kotlin","5","12"
"100624553","2676","2138","30","27","17","1","5","31","Kotlin","5","12"
"100624553","2676","2138","30","27","18","1","6","14","Kotlin","5","12"
"100624553","2676","2138","30","27","19","1","7","20","Kotlin","5","12"
"100624553","2676","2138","30","27","20","1","8","13","Kotlin","5","12"
"100624553","2676","2138","30","27","21","1","9","15","Kotlin","5","12"
"100624553","2676","2138","30","27","22","1","10","16","Kotlin","5","12"
"100624553","2676","2138","30","27","23","1","11","17","Kotlin","5","12"
"100624553","2676","2138","30","27","24","1","12","6","Kotlin","5","12"
"100982449","2234","2228","30","345","1","0","0","55","Go","8","12"
"100982449","2234","2228","30","345","2","0","0","25","Go","8","12"
"100982449","2234","2228","30","345","3","0","0","29","Go","8","12"
"100982449","2234","2228","30","345","4","0","0","57","Go","8","12"
"100982449","2234","2228","30","345","5","0","0","32","Go","8","12"
"100982449","2234","2228","30","345","6","0","0","45","Go","8","12"
"100982449","2234","2228","30","345","7","0","0","55","Go","8","12"
"100982449","2234","2228","30","345","8","0","0","53","Go","8","12"
"100982449","2234","2228","30","345","9","0","0","32","Go","8","12"
"100982449","2234","2228","30","345","10","0","0","60","Go","8","12"
"100982449","2234","2228","30","345","11","0","0","43","Go","8","12"
"100982449","2234","2228","30","345","12","0","0","87","Go","8","12"
"100982449","2234","2228","30","345","13","1","1","228","Go","8","12"
"100982449","2234","2228","30","345","14","1","2","219","Go","8","12"
"100982449","2234","2228","30","345","15","1","3","273","Go","8","12"
"100982449","2234","2228","30","345","16","1","4","223","Go","8","12"
"100982449","2234","2228","30","345","17","1","5","194","Go","8","12"
"100982449","2234","2228","30","345","18","1","6","415","Go","8","12"
"100982449","2234","2228","30","345","19","1","7","235","Go","8","12"
"100982449","2234","2228","30","345","20","1","8","253","Go","8","12"
"100982449","2234","2228","30","345","21","1","9","234","Go","8","12"
"100982449","2234","2228","30","345","22","1","10","204","Go","8","12"
"100982449","2234","2228","30","345","23","1","11","219","Go","8","12"
"100982449","2234","2228","30","345","24","1","12","139","Go","8","12"
"10113030","923","782","84","70","1","0","0","2","Java","3","10"
"10113030","923","782","84","70","2","0","0","15","Java","3","10"
"10113030","923","782","84","70","3","0","0","20","Java","3","10"
"10113030","923","782","84","70","4","0","0","1","Java","3","10"
"10113030","923","782","84","70","5","0","0","4","Java","3","10"
"10113030","923","782","84","70","6","0","0","1","Java","3","10"
"10113030","923","782","84","70","7","0","0","29","Java","3","10"
"10113030","923","782","84","70","8","0","0","52","Java","3","10"
"10113030","923","782","84","70","9","0","0","8","Java","3","10"
"10113030","923","782","84","70","10","0","0","6","Java","3","10"
"10113030","923","782","84","70","11","0","0","39","Java","3","10"
"10113030","923","782","84","70","12","0","0","34","Java","3","10"
"10113030","923","782","84","70","13","1","1","16","Java","3","10"
"10113030","923","782","84","70","14","1","2","22","Java","3","10"
"10113030","923","782","84","70","15","1","3","17","Java","3","10"
"10113030","923","782","84","70","16","1","4","6","Java","3","10"
"10113030","923","782","84","70","17","1","5","4","Java","3","10"
"10113030","923","782","84","70","18","1","6","3","Java","3","10"
"10113030","923","782","84","70","19","1","7","13","Java","3","10"
"10113030","923","782","84","70","20","1","8","6","Java","3","10"
"10113030","923","782","84","70","21","1","9","3","Java","3","10"
"10113030","923","782","84","70","22","1","10","7","Java","3","10"
"10113030","923","782","84","70","23","1","11","2","Java","3","10"
"10113030","923","782","84","70","24","1","12","1","Java","3","10"
"101394335","2273","2216","29","251","1","0","0","174","TypeScript","5","13"
"101394335","2273","2216","29","251","2","0","0","218","TypeScript","5","13"
"101394335","2273","2216","29","251","3","0","0","160","TypeScript","5","13"
"101394335","2273","2216","29","251","4","0","0","273","TypeScript","5","13"
"101394335","2273","2216","29","251","5","0","0","198","TypeScript","5","13"
"101394335","2273","2216","29","251","6","0","0","280","TypeScript","5","13"
"101394335","2273","2216","29","251","7","0","0","309","TypeScript","5","13"
"101394335","2273","2216","29","251","8","0","0","257","TypeScript","5","13"
"101394335","2273","2216","29","251","9","0","0","186","TypeScript","5","13"
"101394335","2273","2216","29","251","10","0","0","159","TypeScript","5","13"
"101394335","2273","2216","29","251","11","0","0","155","TypeScript","5","13"
"101394335","2273","2216","29","251","12","0","0","216","TypeScript","5","13"
"101394335","2273","2216","29","251","13","1","1","71","TypeScript","5","13"
"101394335","2273","2216","29","251","14","1","2","124","TypeScript","5","13"
"101394335","2273","2216","29","251","15","1","3","244","TypeScript","5","13"
"101394335","2273","2216","29","251","16","1","4","193","TypeScript","5","13"
"101394335","2273","2216","29","251","17","1","5","199","TypeScript","5","13"
"101394335","2273","2216","29","251","18","1","6","213","TypeScript","5","13"
"101394335","2273","2216","29","251","19","1","7","192","TypeScript","5","13"
"101394335","2273","2216","29","251","20","1","8","105","TypeScript","5","13"
"101394335","2273","2216","29","251","21","1","9","188","TypeScript","5","13"
"101394335","2273","2216","29","251","22","1","10","95","TypeScript","5","13"
"101394335","2273","2216","29","251","23","1","11","117","TypeScript","5","13"
"101394335","2273","2216","29","251","24","1","12","193","TypeScript","5","13"
"101643617","12137","11729","29","41","1","0","0","24","C++","3","13"
"101643617","12137","11729","29","41","2","0","0","46","C++","3","13"
"101643617","12137","11729","29","41","3","0","0","11","C++","3","13"
"101643617","12137","11729","29","41","4","0","0","33","C++","3","13"
"101643617","12137","11729","29","41","5","0","0","10","C++","3","13"
"101643617","12137","11729","29","41","6","0","0","21","C++","3","13"
"101643617","12137","11729","29","41","7","0","0","29","C++","3","13"
"101643617","12137","11729","29","41","8","0","0","7","C++","3","13"
"101643617","12137","11729","29","41","9","0","0","5","C++","3","13"
"101643617","12137","11729","29","41","10","0","0","96","C++","3","13"
"101643617","12137","11729","29","41","11","0","0","38","C++","3","13"
"101643617","12137","11729","29","41","12","0","0","46","C++","3","13"
"101643617","12137","11729","29","41","13","1","1","12","C++","3","13"
"101643617","12137","11729","29","41","14","1","2","63","C++","3","13"
