"pid","total_commit","total_nonmerge_commit","ageAtActions","contributorsize","time","interventionTRUE","time_after_intervention","merge_commits","language","workflow","nonmerge_commits","workflow_morethan2","job_morethan1","contributor_factor","actionsadoptage"
"100624553","2676","2138","30","27","1","0","0","11","Kotlin","5","42","1",,"2","12"
"100624553","2676","2138","30","27","2","0","0","9","Kotlin","5","41","1",,"2","12"
"100624553","2676","2138","30","27","3","0","0","8","Kotlin","5","41","1",,"2","12"
"100624553","2676","2138","30","27","4","0","0","16","Kotlin","5","72","1",,"2","12"
"100624553","2676","2138","30","27","5","0","0","5","Kotlin","5","36","1",,"2","12"
"100624553","2676","2138","30","27","6","0","0","24","Kotlin","5","90","1",,"2","12"
"100624553","2676","2138","30","27","7","0","0","14","Kotlin","5","43","1",,"2","12"
"100624553","2676","2138","30","27","8","0","0","57","Kotlin","5","130","1",,"2","12"
"100624553","2676","2138","30","27","9","0","0","26","Kotlin","5","65","1",,"2","12"
"100624553","2676","2138","30","27","10","0","0","20","Kotlin","5","59","1",,"2","12"
"100624553","2676","2138","30","27","11","0","0","24","Kotlin","5","76","1",,"2","12"
"100624553","2676","2138","30","27","12","0","0","12","Kotlin","5","36","1",,"2","12"
"100624553","2676","2138","30","27","13","1","1","7","Kotlin","5","48","1",,"2","12"
"100624553","2676","2138","30","27","14","1","2","9","Kotlin","5","26","1",,"2","12"
"100624553","2676","2138","30","27","15","1","3","17","Kotlin","5","70","1",,"2","12"
"100624553","2676","2138","30","27","16","1","4","22","Kotlin","5","45","1",,"2","12"
"100624553","2676","2138","30","27","17","1","5","7","Kotlin","5","51","1",,"2","12"
"100624553","2676","2138","30","27","18","1","6","9","Kotlin","5","26","1",,"2","12"
"100624553","2676","2138","30","27","19","1","7","2","Kotlin","5","22","1",,"2","12"
"100624553","2676","2138","30","27","20","1","8","4","Kotlin","5","16","1",,"2","12"
"100624553","2676","2138","30","27","21","1","9","2","Kotlin","5","19","1",,"2","12"
"100624553","2676","2138","30","27","22","1","10","7","Kotlin","5","36","1",,"2","12"
"100624553","2676","2138","30","27","23","1","11","8","Kotlin","5","40","1",,"2","12"
"100624553","2676","2138","30","27","24","1","12","1","Kotlin","5","22","1",,"2","12"
"10332822","40000","34130","81","232","1","0","0","12","Python","3","62","1","1","6","13"
"10332822","40000","34130","81","232","2","0","0","4","Python","3","81","1","1","6","13"
"10332822","40000","34130","81","232","3","0","0","9","Python","3","74","1","1","6","13"
"10332822","40000","34130","81","232","4","0","0","13","Python","3","260","1","1","6","13"
"10332822","40000","34130","81","232","5","0","0","26","Python","3","248","1","1","6","13"
"10332822","40000","34130","81","232","6","0","0","18","Python","3","202","1","1","6","13"
"10332822","40000","34130","81","232","7","0","0","9","Python","3","117","1","1","6","13"
"10332822","40000","34130","81","232","8","0","0","8","Python","3","68","1","1","6","13"
"10332822","40000","34130","81","232","9","0","0","5","Python","3","79","1","1","6","13"
"10332822","40000","34130","81","232","10","0","0","14","Python","3","585","1","1","6","13"
"10332822","40000","34130","81","232","11","0","0","12","Python","3","281","1","1","6","13"
