"pid","total_commit","total_nonmerge_commit","ageAtActions","contributorsize","time","interventionTRUE","time_after_intervention","nonmerge_commits","language","workflow"
"100060912","2053","1943","10","268","0","0","0","11","C++","2"
"100060912","2053","1943","10","268","1","0","0","87","C++","2"
"100060912","2053","1943","10","268","2","0","0","106","C++","2"
"100060912","2053","1943","10","268","3","0","0","78","C++","2"
"100060912","2053","1943","10","268","4","0","0","72","C++","2"
"100060912","2053","1943","10","268","5","0","0","118","C++","2"
"100060912","2053","1943","10","268","6","0","0","84","C++","2"
"100060912","2053","1943","10","268","7","0","0","63","C++","2"
"100060912","2053","1943","10","268","8","0","0","77","C++","2"
"100060912","2053","1943","10","268","9","0","0","55","C++","2"
"100060912","2053","1943","10","268","10","0","0","60","C++","2"
"100060912","2053","1943","10","268","11","0","0","100","C++","2"
"100060912","2053","1943","10","268","12","1","1","103","C++","2"
"100060912","2053","1943","10","268","13","1","2","85","C++","2"
"100060912","2053","1943","10","268","14","1","3","78","C++","2"
"100060912","2053","1943","10","268","15","1","4","71","C++","2"
"100060912","2053","1943","10","268","16","1","5","68","C++","2"
"100060912","2053","1943","10","268","17","1","6","41","C++","2"
"100060912","2053","1943","10","268","18","1","7","90","C++","2"
"100060912","2053","1943","10","268","19","1","8","70","C++","2"
"100060912","2053","1943","10","268","20","1","9","51","C++","2"
"100060912","2053","1943","10","268","21","1","10","81","C++","2"
"100060912","2053","1943","10","268","22","1","11","92","C++","2"
"100060912","2053","1943","10","268","23","1","12","9","C++","2"
"1005627","11706","11677","12","68","0","0","0","21","C","1"
"1005627","11706","11677","12","68","1","0","0","32","C","1"
"1005627","11706","11677","12","68","2","0","0","5","C","1"
"1005627","11706","11677","12","68","3","0","0","23","C","1"
"1005627","11706","11677","12","68","4","0","0","10","C","1"
"1005627","11706","11677","12","68","5","0","0","11","C","1"
"1005627","11706","11677","12","68","6","0","0","2","C","1"
"1005627","11706","11677","12","68","7","0","0","27","C","1"
"1005627","11706","11677","12","68","8","0","0","6","C","1"
"1005627","11706","11677","12","68","9","0","0","5","C","1"
"1005627","11706","11677","12","68","10","0","0","7","C","1"
"1005627","11706","11677","12","68","11","0","0","14","C","1"
"1005627","11706","11677","12","68","12","1","1","6","C","1"
"1005627","11706","11677","12","68","13","1","2","1","C","1"
"1005627","11706","11677","12","68","14","1","3","2","C","1"
"1005627","11706","11677","12","68","15","1","4","4","C","1"
"1005627","11706","11677","12","68","16","1","5","9","C","1"
"1005627","11706","11677","12","68","17","1","6","1","C","1"
"1005627","11706","11677","12","68","18","1","7","24","C","1"
"1005627","11706","11677","12","68","19","1","8","8","C","1"
"1005627","11706","11677","12","68","20","1","9","7","C","1"
"1005627","11706","11677","12","68","21","1","10","7","C","1"
"1005627","11706","11677","12","68","22","1","11","1","C","1"
"1005627","11706","11677","12","68","23","1","12","9","C","1"
"100624553","2676","2138","12","27","0","0","0","42","Kotlin","5"
"100624553","2676","2138","12","27","1","0","0","41","Kotlin","5"
"100624553","2676","2138","12","27","2","0","0","41","Kotlin","5"
"100624553","2676","2138","12","27","3","0","0","72","Kotlin","5"
"100624553","2676","2138","12","27","4","0","0","36","Kotlin","5"
"100624553","2676","2138","12","27","5","0","0","90","Kotlin","5"
"100624553","2676","2138","12","27","6","0","0","43","Kotlin","5"
"100624553","2676","2138","12","27","7","0","0","130","Kotlin","5"
"100624553","2676","2138","12","27","8","0","0","65","Kotlin","5"
"100624553","2676","2138","12","27","9","0","0","59","Kotlin","5"
"100624553","2676","2138","12","27","10","0","0","76","Kotlin","5"
"100624553","2676","2138","12","27","11","0","0","36","Kotlin","5"
"100624553","2676","2138","12","27","12","1","1","48","Kotlin","5"
"100624553","2676","2138","12","27","13","1","2","26","Kotlin","5"
"100624553","2676","2138","12","27","14","1","3","70","Kotlin","5"
"100624553","2676","2138","12","27","15","1","4","45","Kotlin","5"
"100624553","2676","2138","12","27","16","1","5","51","Kotlin","5"
"100624553","2676","2138","12","27","17","1","6","26","Kotlin","5"
"100624553","2676","2138","12","27","18","1","7","22","Kotlin","5"
"100624553","2676","2138","12","27","19","1","8","16","Kotlin","5"
"100624553","2676","2138","12","27","20","1","9","19","Kotlin","5"
"100624553","2676","2138","12","27","21","1","10","36","Kotlin","5"
"100624553","2676","2138","12","27","22","1","11","40","Kotlin","5"
"100624553","2676","2138","12","27","23","1","12","22","Kotlin","5"
"100982449","2234","2228","12","345","0","0","0","28","Go","8"
"100982449","2234","2228","12","345","1","0","0","15","Go","8"
"100982449","2234","2228","12","345","2","0","0","17","Go","8"
"100982449","2234","2228","12","345","3","0","0","23","Go","8"
"100982449","2234","2228","12","345","4","0","0","20","Go","8"
"100982449","2234","2228","12","345","5","0","0","28","Go","8"
"100982449","2234","2228","12","345","6","0","0","25","Go","8"
"100982449","2234","2228","12","345","7","0","0","27","Go","8"
"100982449","2234","2228","12","345","8","0","0","20","Go","8"
