pid,time,latency,contributorsize,ageAtActions,total_commit,total_nonemerge_commit,interventionTRUE,time_after_intervention,language
100060912,1,80.3333,268,32,2053,1943,0,0,C++
100060912,2,113.346,268,32,2053,1943,0,0,C++
100060912,3,308.598,268,32,2053,1943,0,0,C++
100060912,4,529.966,268,32,2053,1943,0,0,C++
100060912,5,549.697,268,32,2053,1943,0,0,C++
100060912,6,450.958,268,32,2053,1943,0,0,C++
100060912,7,276.471,268,32,2053,1943,0,0,C++
100060912,8,377.96,268,32,2053,1943,0,0,C++
100060912,9,459.007,268,32,2053,1943,0,0,C++
100060912,10,365.843,268,32,2053,1943,0,0,C++
100060912,11,283.685,268,32,2053,1943,0,0,C++
100060912,12,241.342,268,32,2053,1943,0,0,C++
100060912,13,192.688,268,32,2053,1943,1,1,C++
100060912,14,386.892,268,32,2053,1943,1,2,C++
100060912,15,204.077,268,32,2053,1943,1,3,C++
100060912,16,213.687,268,32,2053,1943,1,4,C++
100060912,17,328.465,268,32,2053,1943,1,5,C++
100060912,18,303.635,268,32,2053,1943,1,6,C++
100060912,19,201.495,268,32,2053,1943,1,7,C++
100060912,20,227.231,268,32,2053,1943,1,8,C++
100060912,21,291.52,268,32,2053,1943,1,9,C++
100060912,22,85.0962,268,32,2053,1943,1,10,C++
100060912,23,62.6947,268,32,2053,1943,1,11,C++
100060912,24,23.4167,268,32,2053,1943,1,12,C++
100624553,1,28.64,27,30,2676,2138,0,0,Kotlin
100624553,2,5.93333,27,30,2676,2138,0,0,Kotlin
100624553,3,11.0286,27,30,2676,2138,0,0,Kotlin
100624553,4,124.776,27,30,2676,2138,0,0,Kotlin
100624553,5,36.76,27,30,2676,2138,0,0,Kotlin
100624553,6,8.75,27,30,2676,2138,0,0,Kotlin
100624553,7,66.9278,27,30,2676,2138,0,0,Kotlin
100624553,8,211.876,27,30,2676,2138,0,0,Kotlin
100624553,9,8.62857,27,30,2676,2138,0,0,Kotlin
100624553,10,46.4522,27,30,2676,2138,0,0,Kotlin
100624553,11,73.1154,27,30,2676,2138,0,0,Kotlin
100624553,12,136.821,27,30,2676,2138,0,0,Kotlin
100624553,13,69.4857,27,30,2676,2138,1,1,Kotlin
100624553,14,208.262,27,30,2676,2138,1,2,Kotlin
100624553,15,296.853,27,30,2676,2138,1,3,Kotlin
100624553,16,73.464,27,30,2676,2138,1,4,Kotlin
100624553,17,192.814,27,30,2676,2138,1,5,Kotlin
100624553,18,6.47273,27,30,2676,2138,1,6,Kotlin
100624553,19,25.7533,27,30,2676,2138,1,7,Kotlin
100624553,20,17.3143,27,30,2676,2138,1,8,Kotlin
100624553,21,34.0357,27,30,2676,2138,1,9,Kotlin
100624553,22,92.5857,27,30,2676,2138,1,10,Kotlin
100624553,23,91.7625,27,30,2676,2138,1,11,Kotlin
100624553,24,17,27,30,2676,2138,1,12,Kotlin
100982449,1,368.777,345,30,2234,2228,0,0,Go
100982449,2,1551.86,345,30,2234,2228,0,0,Go
100982449,3,640.773,345,30,2234,2228,0,0,Go
100982449,4,926.578,345,30,2234,2228,0,0,Go
100982449,5,1262.55,345,30,2234,2228,0,0,Go
100982449,6,85.728,345,30,2234,2228,0,0,Go
100982449,7,641.225,345,30,2234,2228,0,0,Go
100982449,8,380.813,345,30,2234,2228,0,0,Go
100982449,9,482.456,345,30,2234,2228,0,0,Go
100982449,10,208.413,345,30,2234,2228,0,0,Go
100982449,11,527.909,345,30,2234,2228,0,0,Go
100982449,12,408.355,345,30,2234,2228,0,0,Go
100982449,13,100.385,345,30,2234,2228,1,1,Go
100982449,14,122.515,345,30,2234,2228,1,2,Go
100982449,15,98.609,345,30,2234,2228,1,3,Go
100982449,16,149.238,345,30,2234,2228,1,4,Go
